video_id,transcript
daGUD3CB7UU,"Introducing Grammarly like you've never seen before. Your all-in-one writing essential. With Grammarly, your writing isn't just clear, concise, and confident. It's also well supported. That's where Citation Finder comes in, your built-in research detective. It scans your draft, spots the claims that may need backup, and gets to work finding reputable resources that support your statements. Citation Finder will show you whether your claims are supported, debated, or contradicted. No more pulling facts out of thin air. No more going off vibes. With Grammarly Citation Finder, you've got the evidence, the leads, and the airtight case. All that's missing is the trench code."
QoI7QEvAljo,"Introducing Grammarly like you've never seen before. Your all-in-one writing essential. Say hello to Humanizer, a tool that ensures that when you do use AI, it never sounds generic or stiff, adding warmth and nuance to your reports, presentations, pitches, and more. So, you're loving the structure of this email to your boss, but you're not liking how it sounds. Humanizer allows you to select the tone of voice that makes sense. Select from a range of voices such as the everyday, the executive, the scholar, and the precisionist. You can even design your own voice by adding a sample of how you'd like your writing to sound so your work always sounds like you. One click is all it takes. Grammarly's humanizer preserves your content without sacrificing personality. Humanizer will give you lineby-line improvements that make sense for you. And that's just one of the powerful features built into Grammarly's roster of agents. What voice will you choose today?"
JQX7SdUJGeo,"[Music] This is Grammarly's AI writing app. Your writing from start to finish, all in one place. Whether it's emails, essays, or proposals, Grammarly helps you brainstorm, draft, refine, and polish without juggling multiple tools and always in a way that sounds like you. Just click the AI chat and your writing space is ready with exactly what you need. From a blank page to a polished draft, Grammarly keeps everything flowing in one place with less hassle and more focus. Grammarly's AI writing app for clearer writing, faster results, and less stress. [Music]"
EbG-mKTXCBo,"[Music] Introducing Grammarly like you've never seen before. Your all-in-one writing essential. Imagine a little voice on your shoulder, whispering clarity, credibility, and citations. Expert review gives you that voice of reason, a seasoned expert in your field by offering feedback only someone in the know could give. Whether it's business, science, or something niche, expert review is inspired by top tier authors, peer-reviewed sources, and seasoned pros in that field. It can help you strengthen your arguments, draw direct quotes, frame your thoughts, and give your paper that experts touch to make it truly shine. You can even select from experts based on a series of categories. With Grammarly's expert review, you're not just writing with confidence."
4qVL0BIM7H8,"[Music] Welcome back to your Grammarly admin video series. In this video, we're walking through your analytics dashboard. You'll learn how to analyze your team's usage of Grammarly so you can discover opportunities to enhance productivity, promote brand consistency, and improve communication across your organization. To get started, head to the analytics tab within your admin panel. If you're on our enterprise plan, you'll have access to effective communication score insight. We cover that in another video. Once you're in the dashboard, select the date range you'd like to explore and choose whether you want to see daily, weekly, or monthly results. These views help you analyze trends over time and spot shifts in behavior or adoption. This dashboard shows where your team uses Grammarly most frequently, like Slack, KOD, or Gmail. It gives you insight into communication channels and where Grammarly offers the most support. This helps you understand adoption and where there may be opportunities for even more impact. Now, on to the good stuff. Scroll down to get a sense of how your team's writing is improving over time and dive deeper into the types of suggestions that are most common. These trends show you where your team is growing and where they still may need support. Your analytics dashboard also shows you the top tones coming through in your team's writing. This gives you visibility into whether your team's communication reflects the tone your brand strives for, which is crucial for messaging and improving brand consistency. Toggle between views to see usage across all features or AI features only to get a sense of how your team is leveraging Grammarly's AI compared to your other tools. If you're on our enterprise plan, you can go even deeper by navigating to authorship usage where you'll see the breakdown of human written versus AI generated text across your organization. At Grammarly, we believe AI should enhance your team's skills and amplify every team member's impact. Authorship helps you uphold this responsible AI usage and ensure it's supporting, not replacing human communication. If you want even more powerful insights, enterprise teams can also use the analytics API to integrate Grammarly usage data directly into your internal business intelligence systems. This allows you to tie communication data to business outcomes and demonstrate Grammarly's value with data that matters to your organization. Finally, you should encourage your employees to track their own progress in their personal analytics dashboard. From here, they can review top tones and get a clear view of how they're improving their writing over time. Ready to dive into the data? Head to your admin panel today to start exploring Grammarly's analytics dashboard. [Music]"
1_ZczeKkduA,"Welcome to your Grammarly admin video series. As an account admin, you play a key role in setting your team up for success. These quick videos will show you how to activate Grammarly's most powerful features so your team can write with clarity, consistency, and confidence from day one. In this video, we'll show you how to set up brand tones and style rules. Two features that tailor Grammarly suggestions to match your brand's unique voice and writing standards. You are setting the tone for your entire team and we're here to make that easier. Let's start with brand tones. Teams spend countless hours manually ensuring their brand is consistently represented. What if that effort was automated? Whether your brand is casual and friendly or polished and professional, Grammarly helps reinforce that voice everywhere your team writes. You can designate brand tones that guide your team to strike the right note in every message. To get started, head to the admin panel and begin setting up your team's tone profile. We'll walk you through a few quick questions about how your brand sounds. Things like how formal, optimistic, or direct your voice should be. From there, Grammarly generates a custom tone profile based on your responses. You can fine-tune it further by searching for, adding, or removing tones so it reflects exactly how you want your team to sound across different channels. Once you've saved your settings, these tones will instantly start informing your team's writing, providing real-time tone suggestions that help them stay on brand. Next up, style rules. Through this feature, you can define how your team should refer to key terms, follow inclusive language and compliance standards, or avoid off-brand language. For example, if your team should always use full product names in external messages, never acronyms or abbreviations, you can set that as a rule that will surface and correct them as they write. To create a new rule, head to the style rules tab in the admin panel. From there, you can add individual rules or upload a list of all of your rules at once. You can add explanations for each rule so your team understands the context behind the suggestions. And you can even share a link for team members to learn more. Grammarly surfaces these rules in real time so your team gets brand specific writing guidance exactly when they need it. Once everything's set, tone and style suggestions appear automatically across your team's everyday tools like Google Docs, KOD, email, Slack, Microsoft Teams, and more. It's an easy way to keep your brand voice strong and your team aligned. No extra effort or training required. Grammarly's AI assistant for work is here to support your team and help your brand shine through and every word. Ready to get started? Head to the admin panel to set up brand tones and style rules today."
CNDU5v7B_FU,"[Music] Welcome back to your Grammarly admin video series. In this video, you'll learn how to invite users to Grammarly using a variety of methods from quick manual invites to more automated and secure options that integrate with your internal systems. No matter how your organization is set up, we've got you covered. Let's start with single signon or SSO. SSO allows your team to log into Grammarly using your preferred identity provider like Octa or Microsoft Entra ID. It keeps things easy for your team with no extra passwords to remember and gives your IT team greater control over access and security. To set it up, you or your IT team will first need to add Grammarly to your identity provider. From there, fill in the authentication fields in your Grammarly admin panel. test the connection and then activate it for your team. Once SSO is live, you'll get a custom login link you can share with your team to get them started. Next is SKIM provisioning which is available only on enterprise plans. SKIM stands for system for cross-domain identity management. But more importantly, it's one of the most secure and automated ways to manage user access. For example, you can give every new hire access to Grammarly the moment they join and they'll receive an invite. When skimm is enabled, new users are automatically provision based on rules you define in your identity provider. No manual steps required. If you're ready to set this up, reach out to our support team or your Grammarly account representative. We'll walk you through it. You can also invite users directly from the admin panel. Navigate to the members tab under member management and choose how you want to invite them. You can add emails manually one by one. Upload a list to add emails in bulk or copy and share an invite link. If you're already using SSO, users invited this way will simply be redirected to your SSO login page and access will only be granted if Grammarly is assigned to them through your identity provider. Once set up, admins can manage user roles and permissions anytime. Here are a few different types of users you can assign. Other account admins like you who should have full access to IT configurations, billing, and more. Account managers who can configure writing settings across teams and view usage data across the company. and users who receive writing suggestions and can view their analytics but can't make account changes. On enterprise plans, you can also set up custom roles with the exact permissions you need for each. Whether you're inviting a few teammates or rolling out Grammarly across your entire organization, you have flexible options that give you control, security, and scalability. If you need help at any time, visit our help center or contact your Grammarly account team. We're here to help. Ready to get started? Head to the admin panel and invite your team today."
5wmTbiiaIuU,"[Music] Welcome back to your Grammarly admin video series. In this video, we're covering a key feature available to customers on our enterprise plan, the effective communication score or ECS. Your ECS helps you understand how strong your organization's communication is by analyzing your team's activity in Grammarly and comparing it to industry benchmarks. It's a simple way to capture the impact of Grammarly and get insight into the quality of your organization's communication. Let's walk through how to read your score and how to improve it over time. To get started, head to the team overview. Under the analytics tab within your admin panel, at the top, you'll see your organization's ECS, and just below it, you'll see what your team's score would have been without Grammarly. You'll also see a breakdown of how Grammarly has improved different aspects of your team's communication like correctness, clarity, inclusivity, style consistency, and brand compliance based on the suggestions that your team has accepted. Click on your detailed score analysis to learn how the score is calculated, how to interpret it, and how you stack up against others in your industry. This analysis gives you a more actionable picture of what Grammarly is improving and where there's opportunity to grow. For example, if your style consistency score is lower than you expect, it may be time to update and reinforce your brand style guide within Grammarly. Which brings me to a few quick ways to raise your score. Set up brand tones within Grammarly to guide your team's tone in real time and improve brand compliance across your org. Create style rules to align on preferred terms and formatting, raising your style consistency score. Invite teammates to Grammarly and streamline access by enabling single sign on to ensure everyone is communicating more clearly and accurately. We have step-by-step videos covering each of these, so be sure to check those out. Want to dive even deeper into your team's communication trends? Just scroll down from your ECS to explore your full analytics dashboard. Don't worry, we have a video for that, too. Strong writing fuels better work across every department, and the effective communication score helps you prove and strengthen that impact. Ready to explore your score? Head to the team overview page in your admin panel today."
5Ugu7Mxsi38,"Welcome back to your Grammarly admin video series. In this video, we'll show you how to make the most of Grammarly's generative AI features, including how to customize settings and manage access for your team. Grammarly has been using AI to power writing assistance for over a decade. Now, with our advanced generative AI capabilities, your team can get realtime inline AI assistance to write and work more effectively. With Grammarly AI, they can surface key insights for faster alignment and to keep work moving. Generate new content like project proposals, blogs, and support documents. Write where they're already working. Draft quick, professional replies to emails, or rewrite messages to sound exactly how they intended. It's intuitive, fast, and built right into the apps your team uses, saving them from context switching between tabs all day long. And it's designed with trust and safety in mind. Grammarly is committed to responsible AI and data use. We've invested in enterprisegrade compliance certifications and attest stations, including ISO 42,01 to ensure our practices meet global standards. As an admin, you have full control over how AI is used across your organization. You can choose which AI features your team has access to, like proactive suggestions or rewriting support, and turn them on or off for specific groups or for your entire organization, so you control how Grammarly shows up in their workflows. Once enabled, your team can start using AI right away without needing to navigate to another tab. It's a simple way to elevate their writing at scale. And if you're curious about how your team is using AI, you're able to track engagement in your analytics dashboard, but more on that in a future video. Grammarly's AI assistant is built to support your team while giving you the controls to guide how it's used. Ready to get started? Head to the admin panel to manage AI settings for your team today."
q2jR6PmLOqU,"[Music] Welcome back to your Grammarly admin video series. In this video, you'll learn how to save your team time and reduce repetitive work using two powerful tools, snippets and knowledge share. Together, they help your team access company knowledge so they can stay aligned and avoid confusion without breaking their flow. Let's start with snippets. Snippets are reusable blocks of text that your team can insert instantly using a simple keyboard shortcut instead of typing it out every time. You can create snippets for things like common customer responses, product descriptions, your brand's boilerplate, or internal updates you send on a regular basis. While each user can always create their own snippets, admins can scale this time-saving feature by creating and managing snippets at the account level to ensure everyone has access to company approved messaging. To set these up, go to the snippets tab in your admin panel. You can add snippets in two ways. Upload them in bulk using a CSV template or add them one by one just like you would with style rules. Each snippet includes a title, shortcut, and body text, which can be a few words, a sentence, or even an entire paragraph complete with links. You can always preview or edit your snippets later. Want to personalize these even further? You can assign snippets to specific groups of users with collections, so sales, support, and marketing each get what they need without extra noise. This level of customization makes it easy to support every team with relevant, reusable content. Once snippets are live, your team can use them anywhere they write. Just type the backslash key to search and insert a snippet instantly. No more copy pasting or rewriting the same message twice. Snippets help your team move faster, write smarter, and stay consistent without the extra effort. Next up, knowledge share. An easy way to reduce confusion around acronyms and team jargon. When enabled, Grammarly will automatically detect jargon in your team's writing. Users can hover over a term to see its definition, related documents, and who to contact for more context. This keeps communication clear and gives new teammates or crossfunctional collaborators easy access to information. To add terms, head to the knowledge share tab in your admin panel. From there, you can add individual terms or upload a list of all of the terms your team should know at once. You'll also find collections of preset terms you can choose from for specific industries and teams. Within each term, add a description that defines the term or acronym and link supporting materials like documentation or Slack channels. You can also assign ownership to subject matter experts so your team always knows who to contact to learn more. Once your terms are uploaded, Grammarly will automatically highlight them across the tools your team uses every day. Just make sure your team downloads Grammarly for Chrome and Grammarly for Windows or Mac to take full advantage of these features. That way, all they need to do is hover over a term to get instant clarity. Snippets and knowledge share help your team move faster, write smarter, and stay aligned without slowing down to search, retype, or clarify. Ready to save your team time? Head to your admin panel to set up snippets and knowledge share today."
xTPNx0Gt4Sg,"Friday is company karaoke – ‘90s pop theme. And, well, I’m something of a karaoke connoisseur. What’s this? Brad wants a plan to reach a new quarterly target... and he wants it by Friday? Hmm, trying to throw me off my karaoke game? Not gonna happen. I’ve got Grammarly. Time to brainstorm. Perfect. Let’s build this out. What’s next? Let’s update my outreach messaging. Something...engaging. Nice! This new messaging is perfect. OK, let’s see what the experts might say. Right! Starting with metrics is way stronger. This is good to go. Hey. Amazing work on that plan. Can you present it to the team next week? No problem. Thanks. Nailed it."
W2P7eixJOgc,"So, I’m writing an essay on cats. Cats in art history. I’m an art history major, and this final is due on Friday. Same day I’m going on a road
trip with my best friend Gabbie. Luckily, I write with Grammarly. What once took me hours now takes minutes. So I can focus on what matters most, my voice. We begin in Ancient Egypt and then the Renaissance, but also Impressionism. And of course, the internet. - Hey. 
- Hey. Have you started packing? Totally. I have not. Finish that paper, you got this. Thank you. - Bye.
- Bye. OK, back to it. Time to double-check my facts and citations. Oops, I made a few debated claims. Fixing those. Nice! No more embarrassing mistakes... But what kind of grade are we talking here? Hmm. Not my dream grade. Let’s clarify this. Shorten that, and... Boom! We have pretty high standards. Am I right?"
4pnUGdXRXN8,"Rocks. I’m writing a paper on them. This is the last thing standing between me and break, and I need to crush it. I’m a geology major. A real rocker. Oh, I’m also in a band... and our show is tonight. Thought I was gonna say a rock band, huh? Of quartz you would. Luckily, Grammarly has transformed my writing. Making my process way faster and my writing way better. A win-win, for my major and my music. This should probably sound more academic. Perfect. Much boulder. Get it? Because boulders are rocks. I’m here all week. Alright, let’s make sure my voice is coming through. Eee, that’s not good. I need some citations here. Got to fix that. Oof, that’s a relief. I’m done! Yes! What time is the show? What time’s the show? It’s..."
